"Year","Region Name","NMFS Name","Pounds","Dollars","Collection","Confidentiality","Source","Scientific Name","Tsn","Metric Tons"
"2000","New England","LOBSTER, AMERICAN","83,029,109","298,516,028","Commercial","Public","ACCSPHIST","Homarus americanus","97314","37,662"
"1950","New England","LOBSTER, AMERICAN","22,558,700","8,108,404","Commercial","Public","ACCSPHIST","Homarus americanus","97314","10,233"
"1951","New England","LOBSTER, AMERICAN","25,534,100","9,220,676","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,582"
"1952","New England","LOBSTER, AMERICAN","24,322,900","10,300,827","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,033"
"1953","New England","LOBSTER, AMERICAN","27,136,100","10,482,017","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,309"
"1954","New England","LOBSTER, AMERICAN","26,431,900","10,130,954","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,989"
"1955","New England","LOBSTER, AMERICAN","27,623,000","10,873,654","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,530"
"1956","New England","LOBSTER, AMERICAN","25,171,300","11,451,013","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,418"
"1957","New England","LOBSTER, AMERICAN","29,106,700","11,145,740","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,203"
"1958","New England","LOBSTER, AMERICAN","25,872,500","12,761,582","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,736"
"1959","New England","LOBSTER, AMERICAN","27,392,700","13,873,367","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,425"
"1960","New England","LOBSTER, AMERICAN","29,260,000","13,581,560","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,272"
"1961","New England","LOBSTER, AMERICAN","25,930,700","13,766,699","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,762"
"1962","New England","LOBSTER, AMERICAN","28,286,100","14,410,109","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,830"
"1963","New England","LOBSTER, AMERICAN","29,120,600","16,212,152","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,209"
"1964","New England","LOBSTER, AMERICAN","29,318,613","19,020,493","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,299"
"1965","New England","LOBSTER, AMERICAN","28,529,685","20,930,103","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,941"
"1966","New England","LOBSTER, AMERICAN","28,006,500","21,117,661","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,704"
"1967","New England","LOBSTER, AMERICAN","24,765,500","20,793,563","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,234"
"1968","New England","LOBSTER, AMERICAN","30,033,700","23,204,463","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,623"
"1969","New England","LOBSTER, AMERICAN","30,710,700","26,172,116","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,930"
"1970","New England","LOBSTER, AMERICAN","30,413,700","29,703,100","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,796"
"1971","New England","LOBSTER, AMERICAN","30,282,800","31,810,906","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,736"
"1972","New England","LOBSTER, AMERICAN","28,863,400","34,767,373","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,092"
"1973","New England","LOBSTER, AMERICAN","26,483,000","37,551,984","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,013"
"1974","New England","LOBSTER, AMERICAN","26,283,700","39,358,749","Commercial","Public","ACCSPHIST","Homarus americanus","97314","11,922"
"1975","New England","LOBSTER, AMERICAN","28,502,600","48,138,853","Commercial","Public","ACCSPHIST","Homarus americanus","97314","12,929"
"1976","New England","LOBSTER, AMERICAN","29,955,900","48,765,880","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,588"
"1977","New England","LOBSTER, AMERICAN","30,326,400","54,850,810","Commercial","Public","ACCSPHIST","Homarus americanus","97314","13,756"
"1978","New England","LOBSTER, AMERICAN","32,749,800","61,291,660","Commercial","Public","ACCSPHIST","Homarus americanus","97314","14,855"
"1979","New England","LOBSTER, AMERICAN","35,562,700","68,271,536","Commercial","Public","ACCSPHIST","Homarus americanus","97314","16,131"
"1980","New England","LOBSTER, AMERICAN","35,849,500","72,685,926","Commercial","Public","ACCSPHIST","Homarus americanus","97314","16,261"
"1981","New England","LOBSTER, AMERICAN","37,527,500","81,286,799","Commercial","Public","ACCSPHIST","Homarus americanus","97314","17,022"
"1982","New England","LOBSTER, AMERICAN","40,956,200","93,584,232","Commercial","Public","ACCSPHIST","Homarus americanus","97314","18,578"
"1983","New England","LOBSTER, AMERICAN","42,676,460","102,394,780","Commercial","Public","ACCSPHIST","Homarus americanus","97314","19,358"
"1984","New England","LOBSTER, AMERICAN","43,089,624","115,174,628","Commercial","Public","ACCSPHIST","Homarus americanus","97314","19,545"
"1985","New England","LOBSTER, AMERICAN","44,430,081","109,507,494","Commercial","Public","ACCSPHIST","Homarus americanus","97314","20,153"
"1986","New England","LOBSTER, AMERICAN","43,027,100","111,375,300","Commercial","Public","ACCSPHIST","Homarus americanus","97314","19,517"
"1987","New England","LOBSTER, AMERICAN","43,173,461","133,315,745","Commercial","Public","ACCSPHIST","Homarus americanus","97314","19,583"
"1988","New England","LOBSTER, AMERICAN","45,536,912","134,747,170","Commercial","Public","ACCSPHIST","Homarus americanus","97314","20,655"
"1989","New England","LOBSTER, AMERICAN","48,066,200","132,719,701","Commercial","Public","ACCSPHIST","Homarus americanus","97314","21,803"
"1990","New England","LOBSTER, AMERICAN","56,684,847","136,733,599","Commercial","Public","ACCSPHIST","Homarus americanus","97314","25,712"
"1991","New England","LOBSTER, AMERICAN","59,238,021","151,343,682","Commercial","Public","ACCSPHIST","Homarus americanus","97314","26,870"
"1992","New England","LOBSTER, AMERICAN","53,385,504","153,577,191","Commercial","Public","ACCSPHIST","Homarus americanus","97314","24,216"
"1993","New England","LOBSTER, AMERICAN","54,361,335","147,911,844","Commercial","Public","ACCSPHIST","Homarus americanus","97314","24,658"
"1994","New England","LOBSTER, AMERICAN","65,380,243","191,911,061","Commercial","Public","ACCSPHIST","Homarus americanus","97314","29,656"
"1995","New England","LOBSTER, AMERICAN","62,697,219","190,143,930","Commercial","Public","ACCSPHIST","Homarus americanus","97314","28,439"
"1996","New England","LOBSTER, AMERICAN","61,224,029","205,880,142","Commercial","Public","ACCSPHIST","Homarus americanus","97314","27,771"
"1997","New England","LOBSTER, AMERICAN","72,791,080","237,002,688","Commercial","Public","ACCSPHIST","Homarus americanus","97314","33,018"
"1998","New England","LOBSTER, AMERICAN","70,842,081","222,607,425","Commercial","Public","ACCSPHIST","Homarus americanus","97314","32,134"
"1999","New England","LOBSTER, AMERICAN","81,160,143","298,518,773","Commercial","Public","ACCSPHIST","Homarus americanus","97314","36,814"
"2001","New England","LOBSTER, AMERICAN","68,560,290","239,681,364","Commercial","Public","ACCSPHIST","Homarus americanus","97314","31,099"
"2002","New England","LOBSTER, AMERICAN","81,381,687","287,620,864","Commercial","Public","ACCSPHIST","Homarus americanus","97314","36,914"
"2003","New England","LOBSTER, AMERICAN","70,501,624","277,946,284","Commercial","Public","ACCSPHIST","Homarus americanus","97314","31,979"
"2004","New England","LOBSTER, AMERICAN","89,807,772","375,780,489","Commercial","Public","ACCSPHIST","Homarus americanus","97314","40,737"
"2005","New England","LOBSTER, AMERICAN","86,273,523","411,047,339","Commercial","Public","ACCSPHIST","Homarus americanus","97314","39,133"
"2006","New England","LOBSTER, AMERICAN","94,347,276","395,289,466","Commercial","Public","ACCSPHIST","Homarus americanus","97314","42,796"
"2007","New England","LOBSTER, AMERICAN","79,370,444","359,271,456","Commercial","Public","ACCSP","Homarus americanus","97314","36,002"
"2008","New England","LOBSTER, AMERICAN","86,294,224","317,922,352","Commercial","Public","ACCSP","Homarus americanus","97314","39,143"
"2009","New England","LOBSTER, AMERICAN","99,155,275","305,051,481","Commercial","Public","ACCSP","Homarus americanus","97314","44,977"
"2010","New England","LOBSTER, AMERICAN","116,034,773","397,817,280","Commercial","Public","ACCSP","Homarus americanus","97314","52,633"
"2011","New England","LOBSTER, AMERICAN","125,214,807","418,118,480","Commercial","Public","ACCSP","Homarus americanus","97314","56,797"
"2012","New England","LOBSTER, AMERICAN","149,134,145","426,233,407","Commercial","Public","ACCSP","Homarus americanus","97314","67,647"
"2013","New England","LOBSTER, AMERICAN","149,274,928","456,651,887","Commercial","Public","ACCSP","Homarus americanus","97314","67,711"
"2014","New England","LOBSTER, AMERICAN","147,169,009","563,255,180","Commercial","Public","ACCSP","Homarus americanus","97314","66,755"
