Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,mean_gsi
1954,1.70074559595523,1.84531583985458,1.48382485540095,1.44167212514034,1.28744870596157,1.64505643807235,1.37132464159205,-0.453714810673909,0.533141797363412,0.853766249999205,0.258997046262214,-0.758447877472432,0.9340942172879634
1955,-0.912268595463738,-0.671609870436881,-0.38453420709209,-0.216906832709305,-0.00271703679794482,-0.300098517720425,0.296705955695427,0.417649010612103,0.368355320706394,-0.269542597885199,-0.505211680087944,-1.12773493007361,-0.2756594984377677
1956,-1.2663618103185,-0.690651020433647,-0.908063633968054,-0.499581628406807,-1.06102040894212,-0.980323411946783,0.186650260359143,-0.107006889059317,0.308059442194905,-0.0223978210232932,0.0654052606382688,0.0165530230549164,-0.41322821982094066
1957,-0.252437828004554,-0.153530995243438,1.12589317615613,-0.272683908999879,-0.437523549825704,-0.00638221371932772,0.208900692724797,0.140543476860438,-0.160031573124978,0.195985405272836,0.0883163423201016,-0.738963547593953,-0.02182621026479426
1958,-1.52251399660198,-0.928560191801699,-0.890035313838031,-2.23849947873839,-1.1120421238204,-2.2366242794495,-1.64539837819116,-0.68146238463635,-0.559681574767727,-0.947947472852815,-0.941109503388675,-0.412998113237675,-1.176406067610367
1959,-1.36701411894289,-0.925159758297218,-1.39966021516156,-2.22894249931411,-1.75547806734511,-1.09602666722142,-1.6057714480395,-1.58847102197611,-1.19586106281581,-1.66163229961435,-0.309345307821082,-1.07639699677433,-1.3508132886102908
1960,-0.802595850850488,-0.890462388124542,-0.482832525124718,-0.95258768158733,-0.768052660733719,-1.47744861670898,-1.50379218720779,-1.89820824775923,-1.40920238426458,-1.38673264159079,-2.08865800013386,-1.51296844498216,-1.2644618024223488
1961,-0.692790200575809,-0.440346681972329,-0.308738692450333,-1.47042556026413,-1.28445712937228,-0.545677586295026,-1.32863489949202,-0.919166502576819,-2.02442506858396,-0.621129081710128,-0.206961792314669,-0.665658272112356,-0.8757009556433216
1962,0.178746930934426,-1.5645131128222,-1.10983226362767,-1.54622245119685,-0.965927010874358,-1.02981702864729,-1.31410386327817,-1.61695868859194,-0.462705914247542,-0.0681297025026909,-2.00128789483678,-1.96723797234978,-1.122332414336737
1963,-1.74618588574616,-1.14070794531089,-1.61831511117367,-0.897009867942528,-1.26132614129717,-1.37083729775944,-1.13292738745558,-0.249132570901842,-0.85150939015119,-1.44411662952662,-1.35431155658903,-2.03659345236846,-1.2585811030185483
1964,-1.79330475619537,-2.16592346894533,-2.50983902160525,-1.59880059498613,-2.33405916721702,-1.35895890493639,-1.42236267194744,-1.42660545005114,-1.81902531231845,-1.95096280306573,-2.10450018710569,-2.15227755528302,-1.88638499113808
1965,-1.48423656814846,-1.70119037248085,-1.84930509271034,-1.08937762981261,-0.42252408132464,-0.0249187354004064,0.513782391457452,-0.782883331963529,-1.98882282700133,-2.05448740272195,-1.07157899717483,-1.66133297000827,-1.134739634774147
1966,-1.87642318797589,-1.53649290135183,-1.75291530214054,-2.31432782637139,-3.55716557381618,-1.52315299117024,-1.39786461013888,-2.2971889896023,-2.61864185452535,-1.97155460744106,-1.44642862965879,-1.60254077097348,-1.9912247704304944
1967,-0.751247177461667,-0.0731060087274259,-1.07430701191447,-2.09262524530358,-1.0022384170708,-1.68680092529656,-1.52817456808671,-1.38116210425991,-1.35087577170512,-1.47717674222695,-0.89459721742723,-0.894930706770055,-1.18393682468754
1968,-1.08843985047441,-0.938994907555242,-0.935070918152292,-0.976394668064581,-0.174381684603227,-0.737344061562231,-0.118040037929523,0.196995747345683,0.78225403683086,-0.0932323863525131,-0.220126720235899,0.149892496063943,-0.34607357955745266
